MOF Identifier v1 (SMILES + Metadata),Largest Cavity Diameter (Ã…),Pore Limiting Diameter (Ã…),Largest Free Path Diameter (Ã…),Crystal Density (g/cm3),Pore Volume (A3),Void Fraction,Pore Volume (cm3/g),Metal Types,Heat Capacity at 300 K (J/g/K),Heat Capacity Std. Dev. at 300 K (J/g/K),Heat Capacity at 350 K (J/g/K),Heat Capacity Std. Dev. at 350 K (J/g/K),Heat Capacity at 400 K (J/g/K),Heat Capacity Std. Dev. at 400 K (J/g/K),Heat Capacity Temperature Coefficient (J/g/K/K),Heat Capacity Intercept (J/g/K),Number of Atoms,Thermal Stability (â„ƒ),Solvent Stability,Water Stability,KH Classes
Nc1cnccc1c1ccncc1.[Cu],8.85794,5.7866,8.85794,0.578816,3519.94,0.7556,1.30542,Cu,0.896209663,0.068390244,1.020818056,0.105506138,1.073200056,0.108659258,0.001769904,0.377276212,180,424,0.7112372,0.55,weak
CC1=NN=C([N]1)CC1=[N]=C(N=N1)C.CC1=[N]=C(N=N1)CC1=[N]=C(N=N1)C.[Cu],6.31761,5.94846,6.3176,1.52436,2758.17,0.5218,0.342307,Cu,0.757795845,0.019963537,0.837729007,0.04070271,0.924914944,0.040729635,0.001671191,0.25522975,368,398.9,0.549154,0.711904762,weak
F[Zr](F)F.F[Zr]F.[O]P(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)([O])[O])(c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O],12.00356,7.22815,8.46923,0.811156,6429.66,0.7422,0.91499,Zr,0.734490771,0.020642573,0.79819189,0.030338756,0.85072403,0.040261048,0.001162333,0.38765249,272,412.5,0.67358696,0.67,none
[O-]C(=O)c1ccc(cc1)c1ccc(c2c1N[C](N2)c1ccc(cc1)[C]1Nc2c(N1)c(ccc2c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],11.61449,9.32322,10.52108,0.548186,20808.6,0.7838,1.42981,Zn,0.839103286,0.042795997,0.953465445,0.060551185,1.0292085,0.073839331,0.001901052,0.275224172,822,357.9,0.65585876,0.47,weak
[Al].[O-]C(=O)c1ccc(o1)C(=O)[O-].[OH],5.59563,4.29059,5.52583,1.10771,1350.61,0.5686,0.513312,Al,0.894683196,0.020325282,1.015439301,0.021720728,1.110684594,0.023286604,0.002160014,0.250930801,128,280.8,0.6186819,0.56,weak
[In].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1cc(nc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],11.44889,9.53551,11.42488,0.546774,15405.8,0.77,1.40826,In,0.859545538,0.033899438,0.95593987,0.062741125,1.018029087,0.075414363,0.001584835,0.38981241,632,359.1,0.8732283,0.56,weak
[Cd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].n1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cnnc1,5.15336,2.94521,5.1512,1.24351,1353.84,0.5102,0.410292,Cd,0.806733164,0.033068746,0.914899504,0.051786841,0.971909409,0.06760476,0.001651762,0.319730503,176,377.8,0.46836522,0.62962963,none
Cc1cc(ccc1n1cnnc1)c1ccc(c(c1)C)n1cnnc1.[Cd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],5.20043,3.16992,5.20043,1.27081,1316.77,0.4932,0.388098,Cd,0.829138923,0.034146681,0.919280707,0.067621168,0.971144331,0.075283264,0.001420054,0.409502394,188,319.6,0.47087127,0.675518519,none
CCC1=NC(=C([N]1)C)C=NC1CCCCC1N=CC1=C(C)[N]C(=N1)CC.CCC1=N[C](C(=N1)C)C=NC1CCCCC1N=CC1=C(C)[N]C(=N1)CC.CCC1=N[C](C(=N1)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC)C.[Zn]Br,7.24464,6.56289,7.24464,1.07529,7448.07,0.625,0.581236,Zn,0.792852487,0.044959074,0.845386516,0.086540119,0.894004912,0.081750289,0.001011524,0.490047817,696,398.7,0.058986545,0.636153846,weak
[O-]C(=O)c1cc(Nc2ccccc2)c(cc1Nc1ccccc1)C(=O)[O-].[Zn][O]1[Zn][O]([Zn]1)[Zn],6.11542,4.24797,6.11542,0.899946,3129.59,0.6364,0.707153,Zn,0.861506845,0.031271165,0.960826052,0.065428403,1.011033372,0.075833081,0.001495265,0.421112579,252,377.9,0.32106575,0.56,strong
