smiles,linker_name,framework_type,pore_size_angstrom,bet_surface_area_m2g,stability_ph_range,degradation_time_days,topology,notes
c1cc(cc(c1)C(=O)O)C(=O)O,Isophthalic acid,MOF,8.2,1200,4-9,>365,sql,"Common MOF linker; forms stable Zn-MOF-5 analogues"
c1cc2cc(cc(c2cc1C(=O)O)C(=O)O)C(=O)O,Trimesic acid,MOF,12.5,1850,3-10,>365,hkl,"Forms HKUST-1 with Cu; benchmark MOF for gas storage"
c1ccc2cc3ccc(cc3cc2c1C(=O)O)C(=O)O,Naphthalenedicarboxylic acid,MOF,10.1,980,4-8,180,sql,"UV-active linker; useful for photocatalytic MOFs"
c1cc(cc(c1)c2cc(cc(c2)C(=O)O)C(=O)O)C(=O)O,Biphenyl-3-3'-5-5'-tetracarboxylic acid,MOF,15.3,2400,3-11,>365,nbo,"High surface area; thermally stable to 400C"
O=C(O)c1ccc(cc1)C(=O)O,Terephthalic acid,MOF,9.6,1500,3-10,>365,pcu,"Primary linker in UiO-66; excellent water stability"
O=C(O)c1cc2ccc(cc2cc1C(=O)O)C(=O)O,2-Aminoterephthalic acid,MOF,9.4,1350,3-10,>365,pcu,"Amine-functionalized; good for CO2 capture and post-synthetic modification"
O=C(O)/C=C/C(=O)O,Fumaric acid,MOF,6.8,740,4-8,90,sql,"Small pores; selective for small molecules like H2"
O=C(O)c1ccncc1,Isonicotinic acid,MOF,7.2,880,5-9,120,dia,"N-donor linker; coordinates through both N and O"
O=C(O)c1ccc(C(=O)O)c(N)c1,5-Aminoisophthalic acid,MOF,11.0,1600,3-9,>365,hkl,"Amino group enables post-synthetic metalation"
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,1-3-5-Benzenetricarboxylic acid,MOF,13.2,2100,3-10,>365,hkl,"Tritopic linker; forms highly porous frameworks"
C(=O)(c1ccc(cc1)B(O)O)O,4-Carboxyphenylboronic acid,COF,14.5,1950,5-8,60,hcb,"Boronate ester COF linker; reversible bond formation"
Nc1ccc(N)cc1,1-4-Phenylenediamine,COF,10.2,1100,5-9,30,hcb,"Imine COF linker; forms with aldehydes under acid catalysis"
Nc1cc(N)cc(N)c1,1-3-5-Triaminobenzene,COF,16.8,2800,5-8,45,hcb,"Tritopic amine; forms hexagonal COF networks"
O=Cc1ccc(C=O)cc1,Terephthalaldehyde,COF,11.5,1400,4-8,30,hcb,"Dialdehyde for imine COF synthesis; pairs with diamines"
O=Cc1cc(C=O)cc(C=O)c1,1-3-5-Benzenetricarbaldehyde,COF,17.2,3100,4-8,45,hcb,"Tritopic aldehyde; forms highly ordered hexagonal COFs"
Nc1ccc(-c2ccc(N)cc2)cc1,4-4'-Diaminobiphenyl,COF,14.0,1650,5-9,60,hcb,"Extended amine linker; larger pore COFs"
O=C1NC(=O)c2cc(C(=O)O)ccc21,3-Carboxy-N-methylphthalimide,MOF,8.9,950,3-7,>180,sql,"Imide-functionalized; thermally robust to 350C"
O=C(O)c1ccc2[nH]ccc2c1,1H-Indole-5-carboxylic acid,MOF,9.1,870,4-9,>365,dia,"Heterocyclic linker; pi-stacking interactions enhance stability"
O=C(O)CCc1ccccc1,3-Phenylpropionic acid,MOF,5.5,420,4-8,30,sql,"Flexible aliphatic linker; breathing MOF behaviour"
O=C(O)c1ccc(cc1)c1ccc(cc1)C(=O)O,4-4'-Biphenyldicarboxylic acid,MOF,16.1,2200,3-10,>365,pcu,"Extended linker for large-pore MOFs; high gas uptake"
