linker_smiles,common_name,compatible_metals,mof_ids
Brc1cc(cc(c1)C(=O)[O-])C(=O)[O-],JATKASGNRMGFSW-UHFFFAOYSA-L,Zn,Brc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
Brc1cc2[CH]N3O[B]4(ON5[Co]6783[O]3c2c(c1)[CH]N1[Co]29%103[O]7c3c([CH]5)cc(cc3[CH]N%10O[B](O1)(ON9[CH]c1c([O]82)c([CH]N6O4)cc(c1)Br)c1ccc(cc1)C(=O)[O-])Br)c1ccc(cc1)C(=O)[O-],,Zn,Brc1cc2[CH]N3O[B]4(ON5[Co]6783[O]3c2c(c1)[CH]N1[Co]29%103[O]7c3c([CH]5)cc(cc3[CH]N%10O[B](O1)(ON9[CH]c1c([O]82)c([CH]N6O4)cc(c1)Br)c1ccc(cc1)C(=O)[O-])Br)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
C(Cn1cnnn1)Cn1cnnn1,"1,3-di(tetrazol-1-yl)propane",Cu,C(Cn1cnnn1)Cn1cnnn1.[Cu]
C1=NC=C2C(=NC=N2)[N]1,Purine,Zn,C1=NC=C2C(=NC=N2)[N]1.[Zn]
C1=NC=C2C(=[N]=C[N]2)[N]1,,Zn,C1=NC=C2C(=[N]=C[N]2)[N]1.[Zn]
C=CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC=C,,"Ce, Nd",C=CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC=C.[Ce]; C=CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC=C.[Nd]
CC(=N[N]C(=O)c1ccncc1)C(=N[N]C(=O)c1ccncc1)C,N-[3-(pyridine-4-carbonylhydrazinylidene)butan-2-ylideneamino]pyridine-4-carboxamide,Cd,CC(=N[N]C(=O)c1ccncc1)C(=N[N]C(=O)c1ccncc1)C.[Cd]
CC(=N[N]C(=S)N)c1cc(cc(c1)C(=N[N]C(=S)N)C)C(=N[N]C(=S)N)C,,Cu,CC(=N[N]C(=S)N)c1cc(cc(c1)C(=N[N]C(=S)N)C)C(=N[N]C(=S)N)C.[Cu]
CC(C(=O)Nc1cc(ccc1C(=O)[O-])C(=O)[O-])O,,Cd,CC(C(=O)Nc1cc(ccc1C(=O)[O-])C(=O)[O-])O.[Cd]
CC(C(=O)[O-])NCc1ccncc1,2-(pyridin-4-ylmethylamino)propanoate,Zn,CC(C(=O)[O-])NCc1ccncc1.[Zn]
CC(C1=NN=C([N]1)C(C)C)C,204714-20-5,Cu,CC(C1=NN=C([N]1)C(C)C)C.[Cu]
CC(C1=NN=C([N]1)C(O)C)O,"1-[3-(1-hydroxyethyl)-1H-1,2,4-triazol-5-yl]ethanol",Cu,CC(C1=NN=C([N]1)C(O)C)O.[Cu]
CCC(Oc1cc(c(cc1c1ccncc1)OC(CC)C)c1ccncc1)C,,Cd,CCC(Oc1cc(c(cc1c1ccncc1)OC(CC)C)c1ccncc1)C.[Cd]
CCOc1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-ethoxybenzene-1,3-dicarboxylate",Zn,CCOc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
CN(c1c(F)c(F)c(c(c1F)F)C1=C2C=CC(=C(c3ccc(cc3)n3ccnc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)n1ccnc1)[N]4)c1c(F)c(F)c(c(c1F)F)N(C)C)C=C3)[N]2)C,,Fe,CN(c1c(F)c(F)c(c(c1F)F)C1=C2C=CC(=C(c3ccc(cc3)n3ccnc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)n1ccnc1)[N]4)c1c(F)c(F)c(c(c1F)F)N(C)C)C=C3)[N]2)C.[Fe]
CN(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C,,Cu,CN(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C.[Cu][Cu]
COC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-methoxycarbonylbenzene-1,3-dicarboxylate",Cu,COC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu]
COc1cc2Cc3cc(c4ccc(cc4)C(=O)[O-])c(cc3Cc3c(Cc2cc1c1ccc(cc1)C(=O)[O-])cc(OC)c(c3)c1ccc(cc1)C(=O)[O-])OC,,Co,COc1cc2Cc3cc(c4ccc(cc4)C(=O)[O-])c(cc3Cc3c(Cc2cc1c1ccc(cc1)C(=O)[O-])cc(OC)c(c3)c1ccc(cc1)C(=O)[O-])OC.[Co]
COc1ccc(cc1C(=O)[O-])c1ccc(c(c1)C(=O)[O-])OC,,La,COc1ccc(cc1C(=O)[O-])c1ccc(c(c1)C(=O)[O-])OC.[La]
